beneficiario,EJERCICIO,programa,componente,unidad_administrativa,cve_entidad,entidad,monto_federal_aportado,tipo_cobertura,nom_abr,rnpa,unidadeconmica,tipo_ue,tipopersona_ue,representantelegal_ue,tipoempresa_ue,estado_ue,cve_ent_ue,municipio,cve_mun,localidad_ue,cve_loc,cve_inegi,ambito_ue,latitud_ue,longitud_ue,altitud_ue,lat_dec_ue,lon_dec_ue,iniciooper,fechaderegistroactualizacion_ue,RNPA_disponible,zona,clasificacion_cn
FED DE SCPP UNIDOS DE LA LAGUNA DEL CAIMANERO SC DE RL,2010,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,25,SINALOA,134040,ESTATAL,SIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED DE SOCIEDADES COOPERATIVAS CONSEJO DE ADMINISTRACCION DE LA PRESA GUSTAVO DIAZ ORDAZ SC DE RL DE CV,2011,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,25,SINALOA,134400,ESTATAL,SIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA ALIANZA DE PESCADORES SCL,2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,26,SONORA,150420,ESTATAL,SON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DE PIJIJIAPAN SCL,2010,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,7,CHIAPAS,62800,ESTATAL,CHIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO SUR,INSPECCIÓN Y VIGILANCIA
FED DE SOCIEDADES COOPERATIVAS DE PRODUCCCION PESQUERA DEL SUR DE SINALOA SC DE RL,2016,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,ORDENAMIENTO PESQUERO Y ACUICOLA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,25,SINALOA,648816,ESTATAL,SIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED DE SOCIEDADES COOPERATIVAS Y ORGANIZACIONES PESQUERAS DE LA CHONTALPA DEL ESTADO DE TABASCO SC DE RL DE CV,2011,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,27,TABASCO,854704,ESTATAL,TAB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
FED DE SOCIEDADES DE PRODUCCION PESQUERA TURISTICA Y SERVICIOS DE LA COSTA SUR DE MICHOACAN SC DE RL DE CV,2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,16,MICHOACAN,320064,ESTATAL,MICH,1601001579,DE PRODUCCION PESQUERA Y TURISTICA BAHIA CALETILLA SC DE RL,CAPTURA,MORAL,GUILLERMO CENDEJAS ARTEAGA,COOPERATIVA,MICHOACAN,16,LAZARO CARDENAS,52,CALETILLA DE MEXCALHUACAN,240,160520240,R,180302.845,1023854.746,19,18.05079,-102.648541,30/08/2007,30/03/15,Disponible,PACIFICO SUR,INSPECCIÓN Y VIGILANCIA
FED NACIONAL DE PESCA DEPORTIVA AC,2009,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,3,BAJA CALIFORNIA SUR,1233144,ESTATAL,BCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED PESQUERA DE SOCIEDADES COOPERATIVAS DEL PACIFICO DE LA COSTA DE CHIAPAS SC DE RS,2013,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,7,CHIAPAS,210980,ESTATAL,CHIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO SUR,INSPECCIÓN Y VIGILANCIA
FED REG DE COOPERATIVAS PESQUERAS Y ACUICOLAS DE BAHIA DE LOBOS SC DE RL DE CV,2018,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,CUMPLIMIENTO Y OBSERVANCIA NORMATIVA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,26,SONORA,217905,ESTATAL,SON,2604614814,FED REGDE SOCIEDADES COOPERATIVAS PESQUERAS Y ACUICOLAS DE BAHIA DE LOBOS SC DE RL DE CV,"ACUACULTURA, CAPTURA",MORAL,MIGUEL VERDUGO ESTRELLA,COOPERATIVA,SONORA,26,SAN IGNACIO RIO MUERTO,72,BAHIA DE LOBOS,17,260720017,U,272116.36,1102709.7,2,27.354544,-110.452694,17/06/2015,9/12/2016,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED REG DE SCP TURISTICAS ACUICOLAS Y ARTESANALES DEL ESTADO DE YUCATAN SC DE RL,2009,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,31,YUCATAN,118888,ESTATAL,YUC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,CARIBE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA BAJA CALIFORNIA FCL,2016,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,ORDENAMIENTO PESQUERO Y ACUICOLA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,NA,NA,2142766.8,REGIONAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA CAMARONEROS DE AGUA VERDE SC DE RL,2009,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,25,SINALOA,165150,ESTATAL,SIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DE ALTAMAR PUERTO DE TOPOLOBAMPO FCL,2010,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,25,SINALOA,1927864.63,ESTATAL,SIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DE BIENES Y SERVICIOS PESCADORES UNIDOS DE LA LAGUNA TAMIAHUA TAMPAMACHOCO SC DE RL DE CV,2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,30,VERACRUZ,1019556,ESTATAL,VER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DE LA CAPITAL DEL ESTADO DE BAJA CALIFORNIA SUR FCL,2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,ORDENAMIENTO Y VIGILANCIA PESQUERA Y ACUICOLA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,3,BAJA CALIFORNIA SUR,1361118.3,ESTATAL,BCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DE LA CIUDAD Y PUERTO DE MAZATLAN SC DE RL,2008,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,25,SINALOA,529740,ESTATAL,SIN,2508016751,FED REG DE SC IND PESQ DE LA CIUDAD Y PUERTO DE MAZ SC DE RL,CAPTURA,MORAL,CARLOS ALEJANDRO ROJAS LOPEZ,COOPERATIVA,SINALOA,25,MAZATLAN,12,MAZATLAN,1,250120001,U,231201.137,1062519.997,10,23.200316,-106.422221,4/4/1958,21/08/15,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DEL ESTADO DE CHIAPAS F DE RL DE CV,2013,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,7,CHIAPAS,110285,ESTATAL,CHIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO SUR,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DEL ESTADO DE QUINTANA ROO SC DE RL,2012,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,23,QUINTANA ROO,787080,ESTATAL,QR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,CARIBE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DEL PUERTO DE GUAYMAS SC DE RL,2013,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,26,SONORA,3857150,ESTATAL,SON,2604613246,FED REG DE SC DE LA INDUSTRIA PESQUERA DEL PUERTO DE GUAYMAS SC DE RL,CAPTURA,MORAL,JOSE DE JESUS PRESICHE OLACHEA,UNIÓN DE PESCADORES,SONORA,26,GUAYMAS,29,HEROICA GUAYMAS,1,260290001,U,275523.951,1105321.181,3,27.92332,-110.889217,6/10/1995,16/08/16,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA NORTE DE SINALOA SUR DE SONORA SC DE RL,2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,25,SINALOA,518210,ESTATAL,SIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA ZONA ORIENTE DEL ESTADO DE YUCATAN FC DE RL,2011,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,31,YUCATAN,658434.4,ESTATAL,YUC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,CARIBE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE PRODUCCION PESQUERA REENCUENTRO PESQUERO SC DE RL DE CV,2018,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,CUMPLIMIENTO Y OBSERVANCIA NORMATIVA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,25,SINALOA,834240,ESTATAL,SIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS DE PRODUCCION PESQUERA Y ACUICOLA PAREDONES UNIDOS SC DE RL,2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,ORDENAMIENTO Y VIGILANCIA PESQUERA Y ACUICOLA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,26,SONORA,736290,ESTATAL,SON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS LAS TAUNITAS S DE RL,2011,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,25,SINALOA,134400,ESTATAL,SIN,2503001287,FED REG DE SC LAS TAUNITAS S DE RL,ACUACULTURA,MORAL,OSCAR ECHAVARRIA ISLAS,COOPERATIVA,SINALOA,25,CHOIX,7,CHOIX,1,250070001,U,264225.239,1081920.467,224,26.707011,-108.322352,9/4/2012,3/11/2016,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS PESCADORES DE BAHIA MAGDALENA SC DE RL DE CV,2013,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,3,BAJA CALIFORNIA SUR,530266.1,ESTATAL,BCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED REG DE SOCIEDADES COOPERATIVAS RIVERENAS ACUICOLAS TURISTICAS Y SERVICIOS GENERAL LAZARO CARDENAS SC DE RL DE CV,2012,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,16,MICHOACAN,847035,ESTATAL,MICH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO SUR,INSPECCIÓN Y VIGILANCIA
FED REG SOCIEDADES COOPERATIVAS DE LA INDUSTRIA PESQUERA DEL MUNICIPIO DE TAMPICO ALTO SC DE RL DE CV,2010,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,30,VERACRUZ,797580,ESTATAL,VER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
FERMIN PEREZ LUNA,2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,ORDENAMIENTO Y VIGILANCIA PESQUERA Y ACUICOLA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,30,VERACRUZ,162600,ESTATAL,VER,3011000498,FERMIN PEREZ LUNA,CAPTURA,FISÍCA,FERMIN PEREZ LUNA,NO_DISPONIBLE,VERACRUZ,30,BOCA DEL RIO,28,BOCA DEL RIO,55,300280055,R,190548.03,960629.895,5,19.096675,-96.108304,24/05/2012,22/10/15,Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
FES FED REG DE COOPERATIVAS DE EMPALME SONORA SC DE RL DE CV,2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,ORDENAMIENTO Y VIGILANCIA PESQUERA Y ACUICOLA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,26,SONORA,245790,ESTATAL,SON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FIERCE CONTENDER MEXICO SRL DE CV,2016,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,ORDENAMIENTO PESQUERO Y ACUICOLA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,2,BAJA CALIFORNIA,199500,ESTATAL,BC,203014436,FIERCE CONTENDER MEXICO SRL DE CV,CAPTURA,MORAL,DAYNET FRANCE ORLAYNETE,EMPRESA PRIVADA,BAJA CALIFORNIA,2,ENSENADA,1,ENSENADA,1,20010001,U,314832.198,1163542.482,18,31.808944,-116.595134,18/08/2011,14/03/17,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FREDDIE AVILA SA DE CV,2016,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,ORDENAMIENTO PESQUERO Y ACUICOLA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,25,SINALOA,268601.1,ESTATAL,SIN,2508007073,FREDDIE AVILA SA DE CV,CAPTURA,MORAL,JUAN MANUEL AVILA TORRES,EMPRESA PRIVADA,SINALOA,25,MAZATLAN,12,MAZATLAN,1,250120001,U,231201.137,1062519.997,10,23.200316,-106.422221,14/06/1994,11/1/2016,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FRENTE COMUN ORGANIZADO DE PESCADORES RIBERENOS DEL ESTADO DE CAMPECHE AC,2010,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,4,CAMPECHE,817920,ESTATAL,CAMP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,CARIBE,INSPECCIÓN Y VIGILANCIA
FUERZA PESQUERA RIVERENA SC DE RL DE CV,2013,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,4,CAMPECHE,258700,ESTATAL,CAMP,408000263,FUERZA PESQUERA RIBERENA SC DE RL DE CV,CAPTURA,MORAL,ORLANDO SANTIAGO YERBES CRUZ,COOPERATIVA,CAMPECHE,4,CALKINI,1,ISLA ARENA,2,40010002,R,204125.798,902708.853,1,20.690499,-90.452459,18/08/2011,17/04/16,Disponible,CARIBE,INSPECCIÓN Y VIGILANCIA
GIOVANNY DE JESUS CANO SILVA,2016,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,ORDENAMIENTO PESQUERO Y ACUICOLA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,30,VERACRUZ,152400,ESTATAL,VER,3001010267,GIOVANNY DE JESUS CANO SILVA,CAPTURA,FISÍCA,GIOVANNY DE JESUS CANO SILVA,NO_DISPONIBLE,NO DISPONIBLE,30,NO DISPONIBLE,NA,NO DISPONIBLE,NA,NA,NA,NA,NA,NA,NA,NA,1/1/2013,1/1/2013,Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
GPO DE PRODUCTORES DE BIENES Y/O SERVICIOS MILSADEL SC DE RL,2012,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,30,VERACRUZ,792064,ESTATAL,VER,3001009756,GPO DE PROD DE B Y/O SERVS MILSADEL SC DE RL,CAPTURA,MORAL,OLIVIA HERRERA CARMONA,COOPERATIVA,VERACRUZ,30,ALVARADO,11,CAMARONERA,30,300110030,R,185016.577,955231.563,10,18.837938,-95.875434,18/03/2012,31/03/17,Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
INTEGRADORA ZEN SA DE CV,2013,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,2,BAJA CALIFORNIA,700160,ESTATAL,BC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
INVERSIONES BACOCHIBAMPO SA DE CV,2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,26,SONORA,3146500,ESTATAL,SON,2604006110,INVERSIONES BACOCHIBAMPO SA DE CV,CAPTURA,MORAL,C HECTOR RAMON ZARAGOZA DE CIMA,EMPRESA PRIVADA,SONORA,26,GUAYMAS,29,HEROICA GUAYMAS,1,260290001,U,275523.951,1105321.181,3,27.92332,-110.889217,1/6/1967,22/11/16,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
J ASUNCION HERNANDEZ RIVERA,2011,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,18,NAYARIT,96796,ESTATAL,NAY,1804001095,J ASUNCION HERNANDEZ RIVERA,CAPTURA,FISÍCA,J ASUNCION HERNANDEZ RIVERA,NO_DISPONIBLE,NO DISPONIBLE,18,NO DISPONIBLE,NA,NO DISPONIBLE,NA,NA,NA,NA,NA,NA,NA,NA,18/08/2011,18/08/11,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
JACOBO MEZA DIAZ,2013,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,25,SINALOA,356160,ESTATAL,SIN,2511001477,JACOBO MEZA DIAZ,CAPTURA,FISÍCA,JACOBO MEZA DIAZ,NO_DISPONIBLE,SINALOA,25,AHOME,1,LOS MOCHIS,1,250010001,U,254700.301,1085939.634,9,25.783417,-108.994343,1/6/1994,24/03/15,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
JESUS ELIGIO MEZA CERVANTES,2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,25,SINALOA,1058375,ESTATAL,SIN,2507002513,JESUS ELIGIO MEZA CERVANTES,CAPTURA,FISÍCA,JESUS ELIGIO MEZA CERVANTES,NO_DISPONIBLE,SINALOA,25,AHOME,1,LOS MOCHIS,1,250010001,U,254700.301,1085939.634,9,25.783417,-108.994343,18/06/2003,15/02/16,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
JOAQUIN DELGADO ORTIZ,2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,ORDENAMIENTO Y VIGILANCIA PESQUERA Y ACUICOLA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,30,VERACRUZ,145560,ESTATAL,VER,3012003632,JOAQUIN DELGADO ORTIZ,CAPTURA,FISÍCA,JOAQUIN DELGADO ORTIZ,NO_DISPONIBLE,VERACRUZ,30,TAMPICO ALTO,152,MATA DE CHAVEZ,25,301520025,R,220647.562,975051.627,6,22.113212,-97.847674,18/08/2011,1/12/2016,Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
JOSE ALFONSO HIDALGO DAVALOS,2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,ORDENAMIENTO Y VIGILANCIA PESQUERA Y ACUICOLA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,25,SINALOA,472260,ESTATAL,SIN,2501005207,JOSE ALFONSO HIDALGO DAVALOS,CAPTURA,FISÍCA,JOSE ALFONSO HIDALGO DAVALOS,NO_DISPONIBLE,SINALOA,25,CULIACAN,6,EJIDO CANAN,2073,250062073,R,243831.877,1072631.357,16,24.642188,-107.442044,25/09/1996,8/4/2016,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
JOSE GUADALUPE PUGA YANEZ,2012,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,28,TAMAULIPAS,243760,ESTATAL,TAMPS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
LA RESERVA DE CELUSTUN SC DE RL,2011,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,31,YUCATAN,158080,ESTATAL,YUC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,CARIBE,INSPECCIÓN Y VIGILANCIA
LAURAS SHRIMP SA DE CV,2013,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,25,SINALOA,386160,ESTATAL,SIN,2507003958,LAURAS SHRIMP SA DE CV,CAPTURA,MORAL,LAURA ARACELI CONTRERAS PAYAN,EMPRESA PRIVADA,SINALOA,25,AHOME,1,LOS MOCHIS,1,250010001,U,254700.301,1085939.634,9,25.783417,-108.994343,18/08/2011,18/08/11,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
LEONOR RAMONA MASUDA MORA,2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,2,BAJA CALIFORNIA,191296,ESTATAL,BC,203127360,LEONOR RAMONA MASUDA MORA,CAPTURA,FISÍCA,LEONOR RAMONA MASUDA MORA,NO_DISPONIBLE,BAJA CALIFORNIA,2,ENSENADA,1,ENSENADA,1,20010001,U,314832.198,1163542.482,18,31.808944,-116.595134,14/02/2014,1/12/2016,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
LITORAL DE BAJA CALIFORNIA SPR DE RL,2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,2,BAJA CALIFORNIA,411411,ESTATAL,BC,203008305,LITORAL DE BAJA CALIFORNIA SPR DE RL,"ACUACULTURA, CAPTURA",MORAL,LORENIA DEL R SESMA ESCALANTE,SOCIEDAD DE PRODUCCIÓN RURAL,BAJA CALIFORNIA,2,ENSENADA,1,ENSENADA,1,20010001,U,314832.198,1163542.482,18,31.808944,-116.595134,10/3/1993,8/9/2015,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
